Query_ID,Document_ID
126,en.15.151.464.2009.11.4
126,en.15.151.254.2009.11.4
126,en.2.268.455.2009.6.18
126,en.15.125.170.2009.5.21
126,en.3.331.84.2009.10.10
126,en.3.326.404.2009.9.3
126,en.3.333.11.2009.10.24
126,en.13.25.179.2009.11.8
126,en.15.147.222.2009.10.4
126,en.15.123.179.2009.5.8
126,en.15.147.229.2009.10.6
126,en.15.124.268.2009.5.15
126,en.3.326.80.2009.9.5
126,en.2.260.111.2009.4.29
126,en.2.279.7.1970.1.1
126,en.2.279.287.2009.8.31
126,en.2.279.180.2009.8.31
126,en.13.1.53.2009.5.31
126,en.3.329.19.2009.9.22
126,en.15.151.83.2009.10.31
126,en.3.322.30.2009.8.9
126,en.15.125.499.2009.5.19
126,en.15.139.92.2009.8.10
126,en.3.350.209.2010.2.18
126,en.15.220.33.2007.11.10
126,en.13.10.19.2009.7.30
126,en.2.281.331.2009.9.9
126,en.15.125.223.2009.5.20
126,en.15.123.14.2009.5.8
126,en.2.279.215.2009.8.31
126,en.15.190.281.2007.6.13
126,en.2.279.235.2009.8.31
126,en.2.281.34.2009.9.11
126,en.2.279.5.2009.8.29
126,en.15.62.289.2008.4.18
126,en.13.25.215.2009.11.8
126,en.2.278.125.2009.8.27
126,en.3.322.206.2009.8.7
126,en.3.326.347.2009.9.4
126,en.3.331.466.2009.10.13
126,en.3.326.205.2009.9.2
126,en.15.140.260.2009.8.22
126,en.3.366.412.2010.5.26
126,en.3.322.338.2009.8.7
126,en.13.5.132.2009.6.24
126,en.15.121.15.2009.4.28
126,en.15.121.129.2009.4.28
126,en.2.280.286.2009.9.8
126,en.2.279.92.2009.8.31
126,en.15.151.98.2009.11.3
127,en.15.103.297.2009.1.4
127,en.3.353.28.2010.3.10
127,en.15.136.294.2009.7.22
127,en.15.70.249.2008.6.10
127,en.15.156.46.2009.12.11
127,en.15.81.218.2008.8.22
127,en.15.167.44.2010.2.23
127,en.3.348.163.2010.2.6
127,en.15.97.362.2008.11.22
127,en.15.229.78.2007.12.19
127,en.15.90.391.2008.10.16
127,en.15.232.156.2008.1.3
127,en.3.389.60.2007.9.3
127,en.15.80.275.2008.8.18
127,en.15.167.10.2010.2.23
127,en.15.112.251.2009.3.16
127,en.15.85.24.2008.9.19
127,en.15.98.499.2008.11.26
127,en.15.244.87.2008.2.22
127,en.15.80.187.2008.8.15
127,en.15.112.286.2009.3.17
127,en.3.359.491.2010.4.16
127,en.15.172.67.2010.3.27
127,en.3.379.181.2007.7.11
127,en.15.77.117.2008.7.28
127,en.2.279.494.2009.8.31
127,en.15.80.156.2008.8.14
127,en.3.417.283.2008.1.9
127,en.15.240.131.2008.2.7
127,en.15.249.220.2008.3.10
127,en.15.147.9.2009.10.1
127,en.13.27.271.2009.11.20
127,en.15.148.130.2009.10.7
127,en.15.139.423.2009.8.13
127,en.3.379.347.2007.7.10
127,en.15.93.82.2008.11.2
127,en.15.104.269.2009.1.7
127,en.2.289.479.2009.11.13
127,en.15.132.109.2009.7.1
127,en.15.243.471.2008.2.19
127,en.15.119.455.2009.4.13
127,en.15.241.404.2008.2.12
127,en.15.86.465.2008.9.26
127,en.13.31.113.2010.1.3
127,en.15.80.422.2008.8.15
127,en.15.73.221.2008.6.26
127,en.3.347.204.2010.2.1
127,en.3.348.125.2010.2.6
127,en.15.78.217.2008.8.2
127,en.3.322.495.2009.8.7
128,en.15.80.116.2008.8.18
128,en.2.317.365.2010.5.28
128,en.15.206.323.2007.8.31
128,en.3.333.443.2009.10.28
128,en.15.86.41.2008.9.26
128,en.2.291.112.2009.11.30
128,en.3.389.34.2007.9.5
128,en.15.202.379.2007.8.14
128,en.2.317.112.2010.5.28
128,en.2.291.288.2009.11.28
128,en.13.55.72.2010.5.23
128,en.13.31.487.2010.1.2
128,en.2.268.82.2009.6.23
128,en.3.375.20.2007.6.18
128,en.15.179.68.2010.5.4
128,en.15.215.487.2007.10.22
128,en.13.10.25.2009.7.29
128,en.13.41.376.2010.3.1
128,en.3.349.179.1970.1.1
128,en.3.383.368.2007.8.1
128,en.13.30.67.2009.12.25
128,en.15.140.216.2009.8.22
128,en.15.254.371.2008.3.27
128,en.13.59.270.2010.6.11
128,en.15.64.298.2008.4.28
128,en.15.160.286.2010.1.15
128,en.15.84.374.2008.9.14
128,en.15.254.465.2008.3.28
128,en.15.87.151.2008.10.2
128,en.3.388.266.2007.8.31
128,en.3.383.474.2007.8.1
128,en.3.333.262.1970.1.1
128,en.15.107.10.2009.1.29
128,en.15.156.382.2009.12.11
128,en.3.379.395.2007.7.9
128,en.15.229.13.2007.12.24
128,en.15.61.361.2008.4.14
128,en.3.382.296.2007.7.29
128,en.15.115.3.2009.2.14
128,en.15.140.182.2009.8.22
128,en.13.5.480.2009.6.23
128,en.15.61.167.2008.4.14
128,en.15.156.172.2009.12.19
128,en.13.31.6.2009.12.31
128,en.15.237.84.2008.1.25
128,en.15.85.74.2008.9.20
128,en.3.378.471.2007.7.8
128,en.3.391.293.2007.9.13
128,en.3.332.467.2009.10.21
128,en.3.331.231.2009.10.9
129,en.15.132.44.2009.6.26
129,en.15.141.445.2009.8.29
129,en.15.136.153.2009.7.20
129,en.2.281.481.2009.9.9
129,en.3.333.336.2009.10.23
129,en.15.132.155.2009.7.1
129,en.2.298.269.1970.1.1
129,en.15.132.391.2009.6.28
129,en.13.8.466.2009.7.11
129,en.15.139.473.2009.8.12
129,en.3.327.392.2009.9.12
129,en.15.132.317.2009.6.26
129,en.13.8.68.2009.7.11
129,en.13.55.2.2010.5.24
129,en.15.132.375.2009.6.26
129,en.3.333.197.2009.10.27
129,en.15.136.356.2009.7.23
129,en.13.8.280.2009.7.16
129,en.2.271.392.2009.7.8
129,en.15.132.102.2009.6.28
129,en.15.132.153.2009.6.28
129,en.15.132.364.2009.6.28
129,en.15.136.376.2009.7.25
129,en.15.132.108.2009.6.28
129,en.15.132.479.2009.6.26
129,en.2.271.348.2009.7.8
129,en.15.132.246.2009.6.26
129,en.2.277.79.2009.8.19
129,en.2.277.373.2009.8.19
129,en.2.271.199.2009.7.10
129,en.2.275.340.2009.8.4
129,en.2.275.213.2009.8.4
129,en.2.271.457.2009.7.8
129,en.2.270.112.2009.7.5
129,en.15.132.195.2009.6.26
129,en.13.10.280.2009.7.29
129,en.15.140.5.2009.8.22
129,en.2.262.77.2009.5.13
129,en.15.132.332.2009.6.26
129,en.13.8.358.2009.7.14
129,en.13.8.79.2009.7.14
129,en.2.270.162.2009.7.2
129,en.2.271.202.2009.7.8
129,en.3.331.310.2009.10.13
129,en.15.132.336.2009.6.29
129,en.2.271.406.2009.7.7
129,en.2.278.114.2009.8.25
129,en.2.279.199.2009.8.29
129,en.15.132.489.2009.6.26
129,en.15.132.202.2009.6.26
130,en.15.203.470.2007.8.21
130,en.13.54.432.2010.5.14
130,en.15.72.98.2008.6.19
130,en.3.378.475.2007.7.9
130,en.15.105.495.2009.1.13
130,en.15.251.174.2008.3.16
130,en.3.392.311.2007.9.19
130,en.15.236.322.2008.1.23
130,en.2.275.5.2009.8.2
130,en.15.79.493.2008.8.14
130,en.15.69.149.2008.5.31
130,en.15.68.138.2008.5.25
130,en.13.41.322.2010.2.28
130,en.15.63.457.2008.4.25
130,en.2.283.97.2009.9.29
130,en.2.279.336.2009.8.29
130,en.15.68.28.2008.5.25
130,en.15.68.155.2008.5.25
130,en.15.67.325.2008.5.17
130,en.3.380.497.2007.7.20
130,en.15.84.372.2008.9.11
